Year;All;Car;Minibus;Bus;SmallTruck;Truck;Motorcycle;SpecialVehicles;Machinery;Tractor
1966;231977;91469;10913;12041;31462;47931;32099;3610;2452;
1967;284194;112367;16008;13332;39927;56889;39647;3641;2383;
1968;318768;125375;18967;13948;43441;62616;47062;4033;3326;
1969;354398;137345;20540;15529;48655;69478;52959;4568;5324;
1970;369808;137771;20916;15980;52152;70730;60994;5070;6195;
1971;403880;153676;22380;17140;57011;73433;68417;5349;6474;
1972;460087;187272;25559;18504;62796;78920;74402;5747;6887;
1973;543318;240360;30055;20011;71043;86780;80860;6420;7789;
1974;647947;313160;34122;21404;81025;95309;86028;7338;9561;
1975;785920;403546;40623;23763;98579;108381;91421;8450;11157;
1976;920141;488894;46066;25388;116861;122176;96984;9224;14548;
1977;1042239;560424;51999;27096;134213;138093;102127;10137;18150;
1978;1142561;624438;56836;28559;144695;146551;109890;10698;20894;
1979;1566405;688687;61596;30634;155278;157095;120378;11291;22875;318571
1980;1696681;742252;64707;32783;165821;164893;137931;11777;24090;352427
1981;1802742;776432;66514;33839;172269;172372;160557;12459;26246;382054
1982;1901926;811465;69598;35432;178762;180772;182795;13386;30160;399556
1983;2041244;856350;73585;38478;186427;190277;217327;14705;33532;430563
1984;2215174;919577;80697;43638;198106;197721;256338;16312;39445;463340
1985;2391357;983444;87951;47119;212505;205496;289052;17639;45561;502590
1986;2641353;1087234;97917;50798;224755;217111;327326;19448;50819;565945
1987;2887287;1193021;106314;53554;233480;225872;369894;21236;55129;628787
1988;3140265;1310257;112885;56172;240718;234166;420889;23301;58300;683577
1989;3388259;1434830;118026;58859;248567;241392;472853;25060;60191;728481
1990;3750678;1649879;125399;63700;263407;257353;531941;26519;63024;769456
1991;4101975;1864344;133632;68973;280891;273409;590488;28606;66981;794651
1992;4584717;2181388;145312;75592;308180;287160;655347;31158;72000;828580
1993;5250622;2619852;159900;84254;354290;305511;743320;33703;79233;870559
1994;5606712;2861640;166424;87545;374473;313771;788786;35495;83072;895506
1995;5922859;3058511;173051;90197;397743;321421;819922;37272;87214;937528
1996;6305707;3274156;182694;94978;442788;333269;854150;40212;95318;988142
1997;6863462;3570105;197057;101896;529838;353586;905121;45327;107151;1053381
1998;7371541;3838288;211495;108361;626004;371163;940935;49925;117913;1107457
1999;7758511;4072326;221683;112186;692935;378967;975746;52105;120937;1131626
2000;8320449;4422180;235885;118454;794459;394283;1011284;55677;129157;1159070
2001;8521956;4534803;239381;119306;833175;396493;1031221;57490;131019;1179068
2002;8655170;4600140;241700;120097;875381;399025;1046907;58790;133003;1180127
2003;8903843;4700343;245394;123500;973457;405034;1073415;60511;137933;1184256
2004;10236357;5400440;318954;152712;1259867;647420;1218677;28004;;1210283
2005;11145826;5772745;338539;163390;1475057;676929;1441066;30333;;1247767
2006;12227393;6140992;357523;175949;1695624;709535;1822831;34260;;1290679
2007;13022945;6472156;372601;189128;1890459;729202;2003492;38573;;1327334
2008;13765395;6796629;383548;199934;2066007;744217;2181383;35100;;1358577
2009;14316700;7093964;384053;201033;2204951;727302;2303261;34104;;1368032
2010;15095603;7544871;386973;208510;2399038;726359;2389488;35492;;1404872
2011;16089528;8113111;389435;219906;2611104;728458;2527190;34116;;1466208
2012;17033413;8648875;396119;235949;2794606;751650;2657722;33071;;1515421
2013;17939447;9283923;421848;219885;2933050;755950;2722826;36148;;1565817
2014;18828721;9857915;427264;211200;3062479;773728;2828466;40731;;1626938
2015;19882069;10509258;446822;216566;3235304;802615;2938821;45138;;1687545
