Year;Total;Household;Commercial;Government;Industrial;Illumination;Other
1970;7307.8;15.8994499;4.774350694;4.129833876;64.17389638;2.641013711;8.381455431
1971;8289.3;16.2631344;4.567333792;4.130626229;64.47830335;2.412748966;8.147853257
1972;9527.3;16.08745395;4.676036233;3.815351674;64.99952767;2.183199857;8.238430615
1973;10530.1;14.79378164;4.299104472;3.517535446;67.28711028;2.059809498;8.042658664
1974;11358.7;15.15754444;5.075404756;3.828783223;66.72066346;1.957970542;7.259633585
1975;13491.7;17.4855652;4.887449321;3.675593142;64.81985221;1.857438277;7.274101855
1976;16078.9;17.549708;4.653303398;3.455460262;65.33469329;1.591526784;7.415308261
1977;17968.8;17.70179422;4.988090468;3.086460977;66.68837095;1.418013446;6.117269935
1978;18933.8;18.90164679;4.878576936;3.172104913;65.52356104;1.460879485;6.063230836
1979;19633.1;20.14047705;5.725534938;3.168119146;63.85899323;1.47964407;5.627231563
1980;20398.2;21.50728986;5.621574453;2.986538028;63.76984244;1.419242874;4.695512349
1981;22030;20.94416704;5.705401725;2.896504766;64.48524739;1.354516568;4.614162506
1982;23586.8;20.88625842;5.8329235;2.52726101;64.43307274;1.310054776;5.010429562
1983;24465.1;21.02954821;5.72039354;2.808081716;63.66497582;1.211112973;5.565887734
1984;27635.2;19.80228115;5.680798402;2.774360236;65.23202293;1.197024085;5.313513201
1985;29708.6;18.96521546;5.454649495;3.000814579;66.00008078;1.370983486;5.208256195
1986;32209.7;18.95112342;5.215820079;3.217353779;64.84350987;2.067700103;5.704492746
1987;36697.3;18.92019304;4.762748213;3.184702962;65.0535598;2.142664447;5.936131541
1988;39721.5;20.02517528;4.988230555;3.195750412;63.5864708;2.052792568;6.151580378
1989;43120;19.56539889;5.334415584;2.964517625;64.01368275;2.123608534;5.998376623
1990;46820;19.5692012;5.463049979;3.125373772;62.39171294;2.630072619;6.820589492
1991;49282.9;21.99890834;6.1970785;3.782853688;57.85333249;2.877062835;7.290764139
1992;53984.7;21.26843346;6.057827496;3.720683823;58.41581041;3.444864934;7.092379878
1993;59237;21.20127623;6.086398704;3.825987136;57.81369752;3.832570859;7.240069551
1994;61400.917;21.90470543;6.033646045;5.399170179;55.59862404;4.075098748;6.988755559
1995;67393.851;21.5042586;6.22493883;4.46861391;56.39595517;4.608580685;6.797652801
1996;74156.638;22.10752192;7.741591521;4.048820282;54.80058306;4.159951264;7.141531956
1997;81884.9124;22.61026172;8.368327692;4.644798887;53.11275451;4.042548136;7.221309063
1998;87704.6167;22.8426612;8.817955997;4.870463677;52.60722751;4.208717937;6.652973678
1999;91201.877;24.76292675;8.999833414;4.139236082;50.96423728;4.589033842;6.544732627
2000;98295.70716;24.30173231;9.501314417;4.179161003;49.68853405;4.636737745;7.692520476
2001;97070.041;24.2683806;10.20684332;4.501882306;48.40735052;5.035778238;7.579765007
2002;102947.8615;22.88481246;10.5561122;4.449368235;49.04365258;4.957772832;8.108281698
2003;111766.0669;22.54252645;11.51682653;4.074625703;49.29867174;4.451090144;8.116259428
2004;121141.8524;22.79885917;12.92381688;3.740023639;49.17039611;3.65895703;7.707947175
2005;130262.7592;23.74813471;14.23567602;3.579472175;47.82197085;3.180485353;7.434260894
2006;143070.4986;24.09025096;14.15832376;4.225047779;47.54768624;2.761136697;7.217554561
2007;155135.2597;23.51227241;14.9167645;4.469120514;47.56787056;2.612328369;6.921643638
2008;161947.5283;24.44223647;14.75992373;4.534957868;46.21883655;2.451552089;7.59249329
2009;156894.0699;24.95155182;15.94633627;4.455006714;44.91570404;2.450592039;7.280809114
2010;172050.6281;24.06890686;16.1185112;4.127844686;46.10889918;2.190215753;7.385622327
2011;186099.551;23.7889302;16.40263661;3.907820115;47.27587496;2.141934457;6.482803656
2012;194923.3495;23.27845141;16.32740369;4.511258568;47.35283459;1.992931012;6.537120735
2013;198045.1805;22.70768888;18.91146076;4.130227504;47.08611825;1.936747146;5.227757471
