Year;NumberOfAccidents;MaterialLossOnly;PersonalInjury;PersonsKilled;PersonsInjured
2002;439777;374029;65748;4093;116412
2003;455637;388606;67031;3946;118214
2004;537352;460344;77008;4427;136437
2005;620789;533516;87273;4505;154086
2006;728755;632627;96128;4633;169080
2007;825561;718567;106994;5007;189057
2008;950120;845908;104212;4236;184468
2009;1053346;942225;111121;4324;201380
2010;1106201;989397;116804;4045;211496
2011;1228928;1097083;131845;3835;238074
2012;1296634;1143082;153552;3750;268079
2013;1207354;1046048;161306;3685;274829
2014;1199010;1030498;168512;3524;285059
