wind_speed,wind_direction,grid_current,grid_voltage,production
2.6,104.7,40.3,373.9,2.4575
2.0,102.5,36.9,374.0,-3740.5129
2.8,94.0,46.6,373.5,-460.7304
1.3,85.0,48.3,372.9,-3709.1286
1.6,105.5,48.2,372.6,-3608.1992
3.4,74.3,78.0,372.3,5982.1461
5.3,82.9,272.5,372.3,49843.4969
5.4,74.5,334.9,372.4,61988.4736
5.3,68.2,302.1,372.8,55699.6395
3.2,69.6,98.1,370.9,11773.0534
1.5,70.2,51.7,370.3,-3298.7913
1.4,32.5,51.1,371.9,-3661.6037
2.5,30.6,52.9,373.9,-3939.0533
1.6,331.1,52.9,373.2,-3794.7431
4.0,308.5,150.8,373.6,21955.3473
5.2,308.0,367.0,374.6,67923.6341
4.7,328.2,189.2,373.7,33663.9693
4.0,2.8,84.7,372.9,10592.9350
2.5,6.3,52.7,373.3,-3602.6841
3.5,20.9,90.9,373.0,9733.7367
7.5,31.3,814.8,374.9,152874.1418
6.2,41.9,582.6,374.5,109109.2385
5.8,48.2,392.8,373.7,72656.7356
4.9,50.0,220.8,373.5,39414.1720
3.8,60.0,93.7,373.5,12536.9502
3.6,70.8,78.2,373.6,9743.3176
2.3,43.2,55.9,373.7,-2896.7508
3.4,12.1,69.1,374.0,4857.4801
3.9,3.1,95.1,374.1,14013.9918
3.6,2.5,92.6,373.9,13592.9998
4.0,2.2,106.8,374.3,16713.6794
3.6,0.5,77.1,374.9,9547.5600
3.3,9.8,59.9,374.2,4606.2852
3.3,17.6,60.0,376.0,3150.5550
3.7,10.1,92.2,376.4,13311.2713
3.8,10.1,92.4,376.7,13373.1059
3.8,19.0,107.0,376.9,16362.6250
4.1,22.3,126.9,376.9,20973.2744
4.0,25.5,91.1,376.7,12572.9655
3.7,25.0,81.1,376.4,8950.2285
3.1,29.6,69.0,376.4,2287.8294
3.2,36.0,73.2,376.2,4066.0755
3.5,34.6,73.2,375.9,4722.9238
4.0,28.7,118.6,376.2,17446.5307
4.5,30.2,183.0,376.5,32450.0370
4.7,31.9,213.8,376.9,38559.6053
5.4,28.0,261.9,377.6,48305.6368
4.5,36.9,193.7,377.2,34831.3959
4.1,52.9,158.8,376.5,27645.4940
4.2,73.3,112.9,376.4,18225.2552
3.5,80.9,80.8,376.2,7548.0156
2.1,94.0,55.9,375.2,-3980.0636
2.4,40.6,58.0,373.2,-2989.6507
2.9,30.5,64.8,372.1,5793.1858
3.8,36.9,100.7,371.6,15399.4162
4.4,43.5,172.4,372.0,29977.7816
4.2,58.6,157.2,372.3,27036.9234
4.7,82.5,215.6,372.6,38735.8880
4.3,108.9,237.0,372.9,41565.5024
3.2,103.8,65.9,372.8,3447.9291
1.5,157.0,56.2,372.9,-3544.3486
2.8,31.3,58.7,372.7,-3508.4619
5.1,40.5,279.9,373.2,50715.6803
6.8,60.9,614.0,373.6,114633.4313
4.1,77.1,189.9,373.3,33190.2826
5.3,80.1,250.9,373.5,45643.7969
5.5,65.4,327.0,374.4,60225.1604
6.0,70.1,477.1,374.5,88517.8355
5.7,64.1,332.9,375.0,61689.2272
6.0,60.9,451.9,375.4,84529.1809
7.9,58.2,944.0,376.4,178115.4952
6.3,57.4,443.9,376.2,83778.6520
6.6,60.6,629.8,376.7,118242.1550
6.3,63.6,446.3,375.9,83413.2543
6.4,66.3,433.9,376.1,81259.7553
5.2,68.4,239.9,375.8,43955.3166
6.2,67.8,378.1,376.2,70346.4957
6.8,65.1,570.7,376.6,107644.1283
6.0,64.3,301.9,376.7,56132.0028
6.4,68.4,480.1,376.8,89357.0238
6.8,63.7,619.8,377.2,116858.1129
7.3,60.7,671.8,377.3,126774.2681
7.0,62.5,677.7,376.8,127635.9571
6.7,63.0,559.2,377.3,105587.6106
6.8,65.3,613.0,377.9,115560.2739
7.4,65.8,625.2,378.9,118535.8508
7.1,67.3,632.7,379.1,120164.6485
8.0,71.2,953.9,379.3,180995.9090
8.8,68.5,1269.8,378.8,241261.7762
8.1,68.7,1106.9,377.1,209000.7300
8.1,72.0,1072.9,376.9,202401.9261
8.4,69.7,1183.2,377.5,223351.3643
8.9,68.9,1429.9,378.5,271091.2870
10.0,72.5,1747.9,378.8,331223.4377
8.8,73.3,1346.8,379.0,255821.0791
10.1,71.6,1885.8,380.4,359499.8245
9.0,68.7,1554.9,379.9,295690.6320
9.0,66.9,1699.8,379.8,323398.6573
10.6,67.0,2028.3,381.2,387003.7341
9.6,65.7,1973.3,381.3,376366.2220
9.0,67.7,1628.3,381.0,310268.2946
